SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
522,105-CHANDIGARH,160113-Himalaya Modern Sr.sec. School,46,203,201,2,199,2,99.01,98.03
523,107-DELHI,050162-SARASWATI SR.SEC.SCHOOL,42,202,110,92,0,110,54.46,0
524,103-KOLKATA,460516-Midnapore Town School,38,202,202,0,100,102,100,49.5
525,105-CHANDIGARH,160110-H.s.d. Girls Sr. Sec. School,43,202,202,0,202,0,100,100
526,102-PUNE,110115-Navneet Jr. College Of Arts,42,201,201,0,179,22,100,89.05
527,114-DEHRADUN,M21368-Madarsa Islahul Muslimeen,37,201,201,0,201,0,100,100
528,105-CHANDIGARH,M16108-Khalsa Public Sr.Sec. School,45,200,200,0,191,9,100,95.5
529,107-DELHI,050156-Adharsh Bal Vidya Kendrasr.s.school,44,199,193,6,183,10,96.98,91.96
530,103-KOLKATA,M22100-SAMARITAN MISSION SCHOOL(HIGH),43,199,199,0,186,13,100,93.47
531,103-KOLKATA,220052-Maria's Day School,42,199,199,0,199,0,100,100
532,107-DELHI,270412-B.S.M. Public School,45,198,198,0,157,41,100,79.29
533,104-GUWAHATI,020074-Adarsha Hindi Vidyalaya H.E. School,48,197,196,1,116,80,99.49,58.88
534,107-DELHI,270419-C.r. Oasis Convent School,40,197,0,197,0,0,0,0
535,107-DELHI,050408-S.d.m. High School,43,197,197,0,197,0,100,100
536,114-DEHRADUN,340061-Modern School,49,196,126,70,4,122,64.29,2.04
537,114-DEHRADUN,M38367-Muslim Inter College,49,196,194,2,192,2,98.98,97.96
538,107-DELHI,270341-Jain Bharti Model School,40,196,0,196,0,0,0,0
539,114-DEHRADUN,210212-Modern Public School,42,195,161,34,161,0,82.56,82.56
540,104-GUWAHATI,M02071-KANCHANPUR MEDHA VIKASH VIDYALAYA,44,195,195,0,191,4,100,97.95
541,109-JAIPUR,170405-GAYATRI VIDYA MANDIR SR. SEC. SCHOOL,38,194,194,0,194,0,100,100
542,109-JAIPUR,M17272-Khalsa Academy,50,193,192,1,115,77,99.48,59.59
543,107-DELHI,270453-New Sainik Public School,38,191,185,6,175,10,96.86,91.62
544,107-DELHI,270436-B.S.M. Senior Secondary School,41,191,190,1,167,23,99.48,87.43
545,107-DELHI,270467-SIDHHARTHA PUBLIC SCHOOL,41,190,106,84,62,44,55.79,32.63
